Statenotes,Statecode,Active,Confirmed,Deaths,Lastupdatedtime,Migratedother,Recovered,State,dateLog
,TT,363849,32249900,432112,13/08/2021 23:27:22,12679,31441260,Total,2022-08-23 08:39:48
,AN,1,7549,129,13/08/2021 23:27:22,0,7419,Andaman and Nicobar Islands,2022-08-23 08:39:48
,AP,17218,1994606,13660,13/08/2021 23:27:22,0,1963728,Andhra Pradesh,2022-08-23 08:39:48
[July 25]: All numbers corresponding to Papum Pare and Captial Complex are tracked under Papum Pare district.,AR,1836,51513,252,13/08/2021 23:27:22,0,49425,Arunachal Pradesh,2022-08-23 08:39:48
[Jan 1]: 1347 cases i.e Covid +'tive patients dead for other reasons have been deducted fom active count.,AS,7707,580657,5502,13/08/2021 23:27:22,1347,566101,Assam,2022-08-23 08:39:48
[June 9] : 3951 deceased cases have been reported in the bulletin after reconciliation of records by the authorities,BR,212,725497,9649,13/08/2021 23:27:22,1,715635,Bihar,2022-08-23 08:39:48
,CH,43,62031,811,13/08/2021 23:27:22,0,61177,Chandigarh,2022-08-23 08:39:48
,CT,1138,1003814,13548,13/08/2021 23:27:22,0,989128,Chhattisgarh,2022-08-23 08:39:48
,DN,8,10660,4,13/08/2021 23:27:22,31,10617,Dadra and Nagar Haveli and Daman and Diu,2022-08-23 08:39:48
"[July 14]: Value for the total tests conducted has been reduced by 97008 in the state bulletin. Reason given : ""Reconciled with ICMR figures"". We have made the same change.",DL,467,1437118,25069,13/08/2021 23:27:22,0,1411582,Delhi,2022-08-23 08:39:48
,GA,873,172568,3176,13/08/2021 23:27:22,0,168519,Goa,2022-08-23 08:39:48
,GJ,184,825196,10078,13/08/2021 23:27:22,0,814934,Gujarat,2022-08-23 08:39:48
,HR,666,770230,9660,13/08/2021 23:27:22,0,759904,Haryana,2022-08-23 08:39:48
,HP,2695,210419,3535,13/08/2021 23:27:22,22,204167,Himachal Pradesh,2022-08-23 08:39:48
,JK,1229,323499,4398,13/08/2021 23:27:22,0,317872,Jammu and Kashmir,2022-08-23 08:39:48
,JH,236,347620,5131,13/08/2021 23:27:22,0,342253,Jharkhand,2022-08-23 08:39:48
,KA,22048,2930529,37007,13/08/2021 23:27:22,26,2871448,Karnataka,2022-08-23 08:39:48
,KL,172250,3702417,18743,13/08/2021 23:27:22,515,3510909,Kerala,2022-08-23 08:39:48
,LA,78,20447,207,13/08/2021 23:27:22,0,20162,Ladakh,2022-08-23 08:39:48
,LD,39,10294,51,13/08/2021 23:27:22,40,10164,Lakshadweep,2022-08-23 08:39:48
"[14 Oct'20]: 4469 confirmed cases and 4469 recoveries added in MP bulletin as reconciliation with private labs and hospitals
[12 July'21] :1478 deceased cases have been added after reconciliation of deceased cases records from Home Isolation(208), Private Hospitals(762) and other districts data (508)",MP,94,792043,10515,13/08/2021 23:27:22,0,781434,Madhya Pradesh,2022-08-23 08:39:48
"[Dec 16]:10,218 duplicate cases & other state cases removed from total cases.791 recovered cases also removed from total recovered cases while reconciling 
[Sep 9] :239 cases have been removed from the hospitalized figures owing to the removal of duplicates and change of addresses as per the original residence
[Aug 15] : MH bulletin has reduced 819 confirmed cases in Mumbai and 72 confirmed cases from 'Other States' from the tally
[Jun 16] : 1328 deceased cases have been retroactively added to MH bulletin.
[Jun 20] : 69 deceased cases have been reduced based on state bulletin.",MH,62452,6396805,135139,13/08/2021 23:27:22,3470,6195744,Maharashtra,2022-08-23 08:39:48
[Dec 14]:824 out of 980 recovered cases are backdated.,MN,6270,108545,1716,13/08/2021 23:27:22,0,100559,Manipur,2022-08-23 08:39:48
,ML,3761,72160,1235,13/08/2021 23:27:22,0,67164,Meghalaya,2022-08-23 08:39:48
,MZ,8880,48711,184,13/08/2021 23:27:22,0,39647,Mizoram,2022-08-23 08:39:48
,NL,1153,29195,605,13/08/2021 23:27:22,836,26601,Nagaland,2022-08-23 08:39:48
[July 12th] :20 non-covid deaths reported in state dashboard are included in the deceased count,OR,9020,995433,7006,13/08/2021 23:27:22,0,979407,Odisha,2022-08-23 08:39:48
,PY,892,122331,1805,13/08/2021 23:27:22,0,119634,Puducherry,2022-08-23 08:39:48
,PB,557,599972,16344,13/08/2021 23:27:22,0,583071,Punjab,2022-08-23 08:39:48
,RJ,180,953954,8954,13/08/2021 23:27:22,0,944820,Rajasthan,2022-08-23 08:39:48
,SK,2068,28726,361,13/08/2021 23:27:22,279,26018,Sikkim,2022-08-23 08:39:48
MoHFW website reports that these are the 'cases that are being reassigned to states'. ,UN,0,0,0,13/08/2021 23:27:22,0,0,State Unassigned,2022-08-23 08:39:48
"[June 29 2021]: TN has introduced a new district ""Mayiladuthurai"" in the bulletin and has assigned cases from Nagapattinam to the new district.
[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.
2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu.
These cases have been added to TN deceased tally",TN,20370,2590632,34547,13/08/2021 23:27:22,0,2535715,Tamil Nadu,2022-08-23 08:39:48
"[July 27] : Telangana bulletin for the previous day is released on the next day. We will add the cases for Telangana against the date of release, as that is the convention that we are following for other states.",TG,7093,652785,3845,13/08/2021 23:27:22,0,641847,Telangana,2022-08-23 08:39:48
"[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states.",TR,1538,81308,778,13/08/2021 23:27:22,63,78929,Tripura,2022-08-23 08:39:48
"[Jan 1]:As no bulletin was provided for 31'st Dec'20,its count has been combined with 1st Jan'21
[Jan 9]:Due to reconcillation there are 1286 cases.",UP,419,1708965,22785,13/08/2021 23:27:22,0,1685761,Uttar Pradesh,2022-08-23 08:39:48
"[Oct 30]: Metric of capturing the testing data has switched to ""Samples Tested"" from ""Samples Collected""
[Jun 30th'21]:145 confirmed cases and 218 deceased cases added of previous days after reconciliation with district and ICMR portal",UT,342,342606,7371,13/08/2021 23:27:22,6049,328844,Uttarakhand,2022-08-23 08:39:48
,WB,9832,1539065,18312,13/08/2021 23:27:22,0,1510921,West Bengal,2022-08-23 08:39:48
